restaurant_name;cuisine_type;email;phone;address;website;query
CÉNA - Restaurant gastronomique Montpellier;Restaurant gastronomique;;04 67 66 12 21;2 Pl. Pétrarque, 34000 Montpellier;https://bookings.zenchef.com/results?rid=372900&pid=1001;bistrot montpellier
Restaurant Aliro By Gary-Bobo Jean;Restaurant gastronomique;;04 99 67 10 39;17 Rue Saint-Firmin, 34000 Montpellier;https://thefork.fr/restaurant/aliro-r839845?cc=18174-54f&rwg_token=AFd1xnHmK8VoHxUcqBvurBhcDIVBdFf_DZlMLEQIN8ojzqd2PEF4vOCnhiWNmsvL1eS5Krr9Bxec2yikX_74TdPuCEXRtQnFpvnhTqoNCfc1o3GkjcN0pDg%3D;restaurant gastronomique montpellier
La Réserve Rimbaud;Restaurant gastronomique;;04 67 72 52 53;820 Av. de Saint-Maur, 34000 Montpellier;https://thefork.fr/restaurant/restaurant-la-reserve-rimbaud-r756448?cc=18174-54f&rwg_token=AFd1xnEDD3z4fOQxq4IearORW-1xdaQe4xKZ_VLJU6PUE-B8LKE2mZU0OLKUtspTYwJU-W4qs3NgEGNdFYIPPc2HpGdtl1EBEA%3D%3D;restaurant gastronomique montpellier
ARTISANE;Restaurant gastronomique;;04 99 06 50 80;19 Rue du Palais des Guilhem, 34000 Montpellier;https://bookings.zenchef.com/results?rid=360828&pid=1001;restaurant gastronomique montpellier
Ébullition;Restaurant gastronomique;info@restaurant-ebullition.fr;09 86 10 84 84;10 Rue du Pila St Gély, 34000 Montpellier;http://www.restaurant-ebullition.fr/;restaurant gastronomique montpellier
Restaurant La Table Des Poètes;Restaurant;contact@la-table-des-poetes.com;04 99 61 19 59;2 Rue Desmazes, 34000 Montpellier;https://la-table-des-poetes.com/menu/;restaurant gastronomique montpellier
Aroc;Restaurant gastronomique;contact@restaurant-aroc.com;04 30 96 80 33;15 Rue Jean Jacques Rousseau, 34000 Montpellier;https://restaurant-aroc.com/;restaurant gastronomique montpellier
Reflet d'Obione;Restaurant gastronomique;;04 99 61 09 17;29 Rue Jean Jacques Rousseau, 34000 Montpellier;https://bookings.zenchef.com/results?rid=351905&pid=1001;restaurant gastronomique montpellier
ESENCIA, restaurant et cave à vins à Montpellier;Restaurant;;09 79 39 32 28;11 Rue du Cheval Vert, 34000 Montpellier;https://www.instagram.com/esencia_montpellier/;restaurant gastronomique montpellier
Restaurant du Petit Jardin;Restaurant français;contact@petit-jardin.com;04 67 60 78 78;20 Rue Jean Jacques Rousseau, 34000 Montpellier;https://www.petit-jardin.com/wp-content/uploads/2025/03/carte-petit-jardin-francais-site.pdf;restaurant gastronomique montpellier
Les Vignes Montpellier;Restaurant français;t.germain34@gmail.com;04 67 60 48 42;2 Rue Bonnier d'Alco, 34000 Montpellier;https://www.lesvignesrestaurant.fr/;restaurant gastronomique montpellier
Les Gourmands;Restaurant;;04 67 72 82 76;40 Av. Saint-Lazare, 34000 Montpellier;https://resto-lesgourmands.happyreza.com/;restaurant gastronomique montpellier
Restaurant Le Grand Arbre;Restaurant français;;04 67 45 71 55;1225 Rue de Bionne, 34070 Montpellier;https://www.legrandarbre.com/menus/;restaurant gastronomique montpellier
GOMU Montpellier;Restaurant de hamburgers;;04 34 11 79 63;25 Rue François Coulet, 34000 Montpellier;https://restaurants.gomuburger.com/montpellier-saint-roch/?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website;restaurant gastronomique montpellier
L'Atelier du Petit Jardin;Restaurant;contact@petit-jardin.com;04 67 82 09 87;196 Rue Elie Wiesel, 34000 Montpellier;https://www.petit-jardin.com/atelier-petit-jardin/restaurant-ambiance-montpellier/;restaurant gastronomique montpellier
Le Sens Six Restaurant;Restaurant français;restaurant@lesenssix.fr;04 67 75 75 56;106 Av. de Lodeve, 34070 Montpellier;https://www.lesenssix.fr/chambres/;restaurant gastronomique montpellier
Mahé;Restaurant;contact@mahe-restaurant.fr;04 67 20 25 26;581 Av. de la Pompignane, 34000 Montpellier;http://www.mahe-restaurant.fr/;restaurant gastronomique montpellier
Naïa Restaurant | Montpellier;Restaurant méditerranéen;;06 21 92 58 75;1348 Av. de la Mer-Raymond Dugrand, 34000 Montpellier;https://www.le-naia.fr/menu;restaurant gastronomique montpellier
Restaurant Sensible;Restaurant végétarien;;09 83 88 90 90;25 Rue du Pila St Gély, 34000 Montpellier;https://restaurantsensible.fr/reservations/;restaurant gastronomique montpellier
Le Cena;Restaurant français;;04 67 66 12 21;2 Pl. Pétrarque, 34000 Montpellier;https://www.cena-montpellier.fr/;restaurant gastronomique montpellier
La Morue;Restaurant méditerranéen;;06 82 00 32 43;23 Rue du Palais des Guilhem, 34000 Montpellier;;restaurant gastronomique montpellier
La Factory devient Berthe;Restaurant;;04 67 20 20 60;598 Av. de la Mer-Raymond Dugrand, 34000 Montpellier;http://www.lafactory-restaurant.fr/carte-la-factory-restaurant-montpellier/;restaurant gastronomique montpellier
Thym Et Romarin;Restaurant français;contact@thymetromarin.com;04 99 61 72 29;14 Rue Roucher, 34000 Montpellier;https://www.thymetromarin.com/;restaurant gastronomique montpellier
Tartine et sac à dos;Restaurant;;04 34 81 39 17;9 Rue Cauzit, 34000 Montpellier;https://www.instagram.com/tartineetsacados?igsh=dHM3Ymp2MHpxMjhn&utm_source=qr;restaurant gastronomique montpellier
Le Melice - Restaurant Montpellier;Restaurant;info@melice.fr;04 67 64 86 51;216 Rue Elie Wiesel, 34000 Montpellier;https://www.melice.fr/;restaurant gastronomique montpellier
Emiko;Restaurant de type izakaya;;09 52 40 44 40;10 B Rue des Balances, 34000 Montpellier;https://www.covermanager.com/reserve/module_restaurant/restaurant-emiko/french;restaurant gastronomique montpellier
L'Atelier de l'Alchimiste;Restaurant;;04 67 60 93 53;5 Rue Four des Flammes, 34000 Montpellier;https://www.alchimistemontpellier.fr/;restaurant gastronomique montpellier
L'artichaut;Restaurant;;04 67 67 91 86;15B Rue Saint-Firmin, 34000 Montpellier;http://www.artichaut-restaurant.com/;restaurant gastronomique montpellier
Hakko;Restaurant végétarien;;09 85 07 65 28;20 Rue Jacques Cœur, 34000 Montpellier;https://www.instagram.com/hakko.montpellier/;restaurant gastronomique montpellier
Ceba - Cuisine d'arrivage, produits locaux et de saison;Restaurant;;04 67 67 22 14;53 Rue de l'Aiguillerie, 34000 Montpellier;https://restaurant-ceba.fr/index.php/exemples-de-menu/;restaurant gastronomique montpellier
New Delhi;Restaurant indien;;04 34 81 03 28;15 Rue de la Fontaine, 34000 Montpellier;https://new-delhi-montpellier.fr/fr/booking;restaurant gastronomique montpellier
Spécialité tunisienne Le Monastir 🇹🇳;Restaurant tunisien;;06 21 57 91 58;07 Pl. Saint-Come, 34000 Montpellier;https://booking.delicity.com/restaurant-le-monastir-montpellier;restaurant gastronomique montpellier
Restaurant La Closerie;Restaurant;;04 67 12 32 32;3 Rue du Clos René, 34000 Montpellier;https://carte-de-restaurant.fr/carte/629732397ef0a/restaurant-la-closerie/;restaurant gastronomique montpellier
Les Casseroles en Folie;Crêperie;;04 67 29 90 45;5 Pl. de la Chapelle Neuve, 34000 Montpellier;;restaurant gastronomique montpellier
Restaurant Le G - Montpellier;Restaurant;;04 34 11 61 17;3409 Av. Etienne Méhul, 34070 Montpellier;https://restaurant-le-g-montpellier.fr/fr/booking;restaurant gastronomique montpellier
L'Original;Restaurant méditerranéen;;09 81 98 72 85;16 Rue Henri René, 34000 Montpellier;;restaurant gastronomique montpellier
AKATSUKI;Restaurant asiatique;;07 68 53 57 03;12 Av. de Toulouse, 34070 Montpellier;https://linktr.ee/akatsuki.restaurant;restaurant asiatique montpellier
Bol Bun & Bubble;Restaurant vietnamien;;04 99 61 07 86;1 Rue d'Alger, 34000 Montpellier;;restaurant asiatique montpellier
MAI SUSHI;Restaurant;;07 83 45 89 49;23 Rue Chaptal, 34000 Montpellier;https://mai-sushi.fr/;restaurant asiatique montpellier
Coco d'Asie;Restaurant thaï;;04 67 64 83 64;4 Rue Ernest Michel, 34000 Montpellier;https://www.facebook.com/110303863798723/photos/rpp.110303863798723/184887839673658/?type=3&theater;restaurant asiatique montpellier
SIAM Thai Bistro;Restaurant thaï;;07 67 40 74 74;15 Av. Georges Clemenceau, 34000 Montpellier;;restaurant asiatique montpellier
Tiger Noodles Louis Blanc;Restaurant chinois;;09 54 31 00 82;4 Bd Louis Blanc, 34000 Montpellier;https://www.instagram.com/tigernoodles.restaurant/?igshid=YmMyMTA2M2Y=;restaurant asiatique montpellier
Parfums D'Asie;Restaurant;;04 67 22 30 63;3 Pl. de Strasbourg, 34000 Montpellier;;restaurant asiatique montpellier
KONG'S FOOD;Restaurant chinois;;04 99 06 46 35;38 Av. Georges Clemenceau, 34000 Montpellier;https://frmapsy.com/business/kong-s-food-IyPJFFZo;restaurant asiatique montpellier
Thanh Long Restaurant;Restaurant vietnamien;;04 67 58 13 88;3 Rue Durand, 34000 Montpellier;;restaurant asiatique montpellier
Quanta;Restaurant vietnamien;;06 28 33 06 27;7 Rue du Faubourg Figuerolles, 34070 Montpellier;http://www.quan-ta.fr/;restaurant asiatique montpellier
Tiger Noodles Antigone;Restaurant chinois;;04 34 46 72 49;11 Pl. du Millénaire, 34000 Montpellier;https://www.instagram.com/tigernoodles.restaurant/?igshid=YmMyMTA2M2Y=;restaurant asiatique montpellier
THAÏ ´N HOUSE;Restaurant thaï;;07 50 00 79 65;5 Rue des Écoles Laïques, 34000 Montpellier;;restaurant asiatique montpellier
Wei sin;Épicerie asiatique;hello@weisin.com;04 67 06 92 43;45-47 Av. Georges Clemenceau, 34000 Montpellier;https://weisin-epicerie.com/;restaurant asiatique montpellier
食在妙 MIAO restaurant&salon de thé chinois;Restaurant chinois;;09 56 30 47 37;2 Rue Delpech, 34000 Montpellier;;restaurant asiatique montpellier
Le Weilai;Restaurant chinois;;04 48 78 16 66;8 Rue du Petit Saint-Jean, 34000 Montpellier;;restaurant asiatique montpellier
YURICHA;Restaurant asiatique;;06 81 67 05 38;68 Rue de l'Aiguillerie, 34000 Montpellier;;restaurant asiatique montpellier
THAÏZONE;Restaurant thaï;;04 99 51 41 29;12 Rue Boussairolles, 34000 Montpellier;https://www.thaizone.fr/menus;restaurant asiatique montpellier
GUUMY;Restaurant asiatique;;07 69 71 37 88;13 Rue Jacques Cœur, 34000 Montpellier;;restaurant asiatique montpellier
To-Ly Phở Bò - Bánh Cuốn;Restaurant vietnamien;;09 85 10 89 65;3 Rue Adam de Craponne, 34000 Montpellier;;restaurant asiatique montpellier
Restaurant Bane Lao;Restaurant laotien;;04 67 92 32 17;4 Rue Rhin et Danube, 34000 Montpellier;https://www.facebook.com/Bane-Lao-403771753034155/;restaurant asiatique montpellier
Ba La Chuoi;Restaurant vietnamien;;09 83 42 64 66;11 Rue Serane, 34000 Montpellier;;restaurant asiatique montpellier
KUMA-Ï SUSHI JAPONAIS A VOLONTÉ MONTPELLIER;Restaurant japonais;;09 65 20 01 29;16 Rue Boussairolles, 34000 Montpellier;https://app.tableo.com/widget/kuma-i-sushi-montpellier-france;restaurant asiatique montpellier
Royal Orchid Restaurant;Restaurant thaï;;04 67 06 59 71;14 Rue Jules Ferry, 34000 Montpellier;;restaurant asiatique montpellier
Sushi Boat;Restaurant japonais;;04 67 92 00 37;12 Rue de Verdun, 34000 Montpellier;https://commandes.sushiboat-france.com/order;restaurant asiatique montpellier
Chô Chaï Montpellier Antigone - Thaï Street Food;Restaurant thaï;;04 34 81 03 07;17 Pl. du Nombre d'Or, 34000 Montpellier;https://totm.co/ChoChaiMontpellierAntigone;restaurant asiatique montpellier
Chez Peng Peng;Restaurant chinois;;07 52 42 66 66;13 Rue de l'Université, 34000 Montpellier;;restaurant asiatique montpellier
Ôd Thaï;Restaurant thaï;;04 99 92 53 58;431 Bd Pedro de Luna, 34070 Montpellier;;restaurant asiatique montpellier
Wei Son;Épicerie asiatique;;09 52 42 15 95;9 Rue d'Alger, 34000 Montpellier;;restaurant asiatique montpellier
Cuisine S;Restaurant vietnamien;;04 99 65 12 41;20 Rue Aristide Ollivier, 34000 Montpellier;https://delicity.com/cuisine-s-montpellier;restaurant asiatique montpellier
Galanga - Cuisine Thaï Lao;Restaurant thaï;;07 63 53 34 54;44 Rue de l'Université, 34000 Montpellier;https://app.galanga-thailao.fr/form/cmktm1inv00002g8b7jde5lpx;restaurant asiatique montpellier
Le Bol d'or - Restaurant Thaï et Vietnamien;Restaurant thaï;;04 67 58 43 35;8 Rue du Clos René, 34000 Montpellier;http://restaurant-leboldor.fr/la-carte-menus-et-desserts/;restaurant asiatique montpellier
Aloy Thai - Montpellier;Restaurant thaï;;09 81 88 70 00;10 Rue Jacques Bounin, 34070 Montpellier;https://www.aloy-thai.fr/;restaurant asiatique montpellier
Thai to Box;Restaurant thaï;himnoy@gmail.com;;13 Rue de Verdun, 34000 Montpellier;https://www.ubereats.com/fr/montpellier/food-delivery/thai-to-box/dns-LusJRmSQG_P2pZQ9oQ;restaurant asiatique montpellier
Rose d'Asie;Traiteur;;04 67 92 49 92;5 Pl. Alexandre Laissac, 34000 Montpellier;;restaurant asiatique montpellier
Wok etc.;;;06 24 76 11 76;28 Rue des Étuves, 34000 Montpellier;;restaurant asiatique montpellier
Moutarde & Wasabi;Restaurant japonais;;04 67 42 84 21;2 Rue Lamartine, 34070 Montpellier;https://app.cookie.menu/restaurants/66f69987c32c87568076f472;restaurant asiatique montpellier
Crousty Mi;Restaurant asiatique;;04 67 60 27 84;18 Rue du Cardinal de Cabrières, 34000 Montpellier;;restaurant asiatique montpellier
Li’s Raviolis Chinois - Léon Blum;Restaurant chinois;contact@etre-visible.local.fr;09 83 66 94 64;470 Rue Léon Blum, 34000 Montpellier;http://li-s-raviolis.fr/contact;restaurant asiatique montpellier
Côté Sushi Montpellier Ecusson;Restaurant de sushis;;04 99 66 70 73;17 Rue Saint-Guilhem, 34000 Montpellier;https://thefork.fr/restaurant/cote-sushi-montpellier-ecusson-r721576?cc=18174-54f&rwg_token=AFd1xnFfRvV9WUmOnwngGbUTVohaYp1gxSTWfgX-EvC_xC9xZ-_iG3JeFQJjSzJ4-XX9f1-RG2bkqiEztRsA8dZjEWp0DUJCGfwAfuh78qnvdbNEaDpNcZ8%3D;restaurant asiatique montpellier
Kashmir villa;Restaurant indien halal;;07 51 41 89 28;10 Bd Louis Blanc, 34000 Montpellier;https://www.kashmir-villa-restaurant-montpellier.fr/;restaurant asiatique montpellier
Ché Lys;Restaurant vietnamien;;07 66 45 60 86;69 Rue de l'Aiguillerie, 34000 Montpellier;https://www.instagram.com/chelys_restaurant?igsh=MXMwZDZoYnA0YjJzYw==;restaurant asiatique montpellier
Li‘s Raviolis Chinois - Université;Restaurant;contact@etre-visible.local.fr;09 52 17 06 05;23 Rue de l'Université, 34000 Montpellier;https://www.li-s-raviolis.fr/;restaurant asiatique montpellier
Wok to Walk Montpellier;Restaurant thaï;;;10 Rue de Verdun, 34000 Montpellier;http://woktowalk.com/;restaurant asiatique montpellier
Sushi Kawaii Montpellier;Sushi à emporter;;04 67 82 88 28;58 Rue Saint-Guilhem, 34000 Montpellier;https://www.sushi-kawaii.fr/r%C3%A9servation;restaurant asiatique montpellier
Sawadee resto thai;Restaurant thaï;;04 67 22 03 44;59 Av. de Toulouse, 34070 Montpellier;https://sawadeerestothai34.wixsite.com/sawadee;restaurant asiatique montpellier
Korean Korner;Restaurant coréen;;07 49 37 98 38;8 Pl. Martyrs de la Résistance, 34000 Montpellier;http://www.thecup.fr/uploads/MenuTheCup2018-19-04.pdf;restaurant asiatique montpellier
Restaurant Vietnamien La Pagode;Restaurant vietnamien;;04 67 58 03 35;17 Rue Boussairolles, 34000 Montpellier;https://www.facebook.com/pages/Restaurant-Vietnamien-la-Pagode/1887010031539846;restaurant asiatique montpellier
Wokami Montpellier;Poulet frit à emporter;;04 99 92 62 99;115 Rue Léon Blum, 34000 Montpellier;https://www.instagram.com/p/DG0ymCDo3CA/?hl=fr&img_index=1;restaurant asiatique montpellier
The Little Italy Shop restaurant italien;Restaurant italien;;04 11 93 79 72;4 bis Cr Gambetta, 34000 Montpellier;https://thefork.fr/restaurant/the-little-italy-shop-r828351?cc=18174-54f&rwg_token=AFd1xnH6QMVYlKm2a4bVTzEPNxxjtG_7c8sDYfHIIYLQ1KoQyBc7Az_jeKohQ-jRU4fiqPGYE9Qpnbau5qJY7Yq3rneP4HMX85uNy5nj5O1iLWiM9n7Ly-A%3D;restaurant italien montpellier
Casa Di Giorgio - Restaurant Italien à Montpellier;Restaurant italien;;04 67 66 04 17;10 Rue de la Loge, 34000 Montpellier;https://bookings.zenchef.com/results?rid=372901&pid=1001;restaurant italien montpellier
Il Pastaiolo;Restaurant italien;;09 54 77 15 17;18 Rue Henri René, 34000 Montpellier;https://beacons.ai/ilpastaiolo;restaurant italien montpellier
Romagna Kitchen - Spécialités italiennes;Restaurant italien;;04 22 91 04 53;20 Rue du Faubourg du Courreau, 34000 Montpellier;http://romagnakitchen.com/;restaurant italien montpellier
Strada by IT - Montpellier;Restaurant italien;office.florida@it-trattoria.com;;5 Rue de Maguelone, 34000 Montpellier;https://it-trattoria.com/?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website;restaurant italien montpellier
Via Pila;Restaurant italien;;07 71 67 98 68;2 Rue du Pila St Gély, 34000 Montpellier;;restaurant italien montpellier
Antonio e Marco - Montpellier;Restaurant italien;;04 99 53 33 57;23 Rue de Chio, 34000 Montpellier;https://bookings.zenchef.com/results?rid=383601&pid=1001&isPreview=1;restaurant italien montpellier
La Trattoria;Restaurant;;04 99 66 33 64;5 Rue de l'Ancienne Poste, 34000 Montpellier;https://www.la-trattoria-restaurant-montpellier.fr/;restaurant italien montpellier
La Maison d´Anna;Restaurant italien;;09 66 98 89 49;1 Rue des Trésoriers de France, 34000 Montpellier;https://thefork.fr/restaurant/la-maison-d-anna-r811984?cc=18174-54f&rwg_token=AFd1xnHPCwI5Fp50cwmOJuAneJfPGMXTV21XITQs7NMQFTOJrW2hUCKI549wKJYERDo5rpFWydRda0eK6lfbkvSRZffERDR7zDVfv5CTDpWfDnqUWAP2GYo%3D;restaurant italien montpellier
La Nonna Restaurant Montpellier Millénaire;Restaurant italien;;09 70 66 95 96;1086 Av. Albert Einstein, 34000 Montpellier;https://reservation.laddition.com/booking/lanonna#/date;restaurant italien montpellier
Foca Mia;Restaurant italien;;09 81 23 07 00;16 Rue Saint-Guilhem, 34000 Montpellier;;restaurant italien montpellier
Caravaggio;Restaurant italien;contact@caravaggio.fr;04 67 56 53 07;22 Rue du Palais des Guilhem, 34000 Montpellier;https://caravaggio.fr/commander/;restaurant italien montpellier
Le Secco;Restaurant italien;;04 67 05 96 15;10 Rue du Petit Saint-Jean, 34000 Montpellier;http://www.restaurantsecco.fr/;restaurant italien montpellier
Cucina Nostra;Restaurant italien;;09 81 79 48 57;6 Rue des Écoles Laïques, 34000 Montpellier;https://thefork.fr/restaurant/cucina-nostra-r715589?cc=18174-54f&rwg_token=AFd1xnHsYMdnLdJRvgsdP2FKzgpEf5FzdOuVoY4q8PQ0WF4hmIUw0kHCYNUfYpP31VDaykNdn8hoWlysXC59R1qAblDSRTCf9w4s8v1_Twuhg95ext1nFhQ%3D;restaurant italien montpellier
La Vita è Bella;Épicerie italienne;;09 86 66 68 43;1 Bd Louis Blanc, 34090 Montpellier;https://www.instagram.com/lavitaebella.montpellier?igsh=MXQzM2RkYndzMTU5cw==;restaurant italien montpellier
Pourquoi Pas;Restaurant;;04 67 17 76 62;8 Pl. du Millénaire, 34000 Montpellier;https://restopourquoipas.wixsite.com/pourquoipas/menu;restaurant italien montpellier
DiscoVolante;Restaurant italien;;07 67 36 71 27;27 Rue de l'Aiguillerie, 34000 Montpellier;https://bookings.zenchef.com/results?rid=360088&pid=1001;restaurant italien montpellier
Angelo Gelato Caffè - Artisan Glacier- Fabrication Artisanale - Café Italien;Marchand de glaces;angelogelatocaffe@gmail.com;04 67 06 52 90;58 Grand Rue Jean Moulin, 34000 Montpellier;https://www.angelogelatocaffe.com/;restaurant italien montpellier
Meraki Taverna;Restaurant grec;contact@meraki.restaurant;04 67 05 95 46;4 Rue de la République, 34000 Montpellier;https://meraki.restaurant/wp-content/uploads/2026/04/Carte-printemps-2026.pdf;restaurant italien montpellier
Baba Ristorante;Restaurant;;04 67 60 77 23;21 Rue Vallat, 34000 Montpellier;https://www.baba-ristorante.com/plats;restaurant italien montpellier
La Vita Al dente;Restaurant;;06 87 56 09 82;Halles du Lez, Av. de la Mer, 34000 Montpellier;https://lavitaaldente.fr/;restaurant italien montpellier
Pizzeria Sicilia - Montpellier;Pizzeria;;04 67 66 30 98;20 Rue du Pila St Gély, 34000 Montpellier;https://www.facebook.com/pizzeriaSiciliamtp/;restaurant italien montpellier
L'indya;Restaurant indien;;04 67 63 13 15;7 Rue Alfred Bruyas, 34000 Montpellier;https://instagram.com/lindya.montpellier?igshid=OGQ5ZDc2ODk2ZA==;restaurant italien montpellier
O BEACH;Restaurant italien;;04 67 05 67 53;70 Av. du Pont Juvénal, 34000 Montpellier;http://ristorante-obeach.com/;restaurant italien montpellier
Arezzo;Restaurant italien;;04 67 54 70 79;8 Rue de l'Herberie, 34000 Montpellier;https://www.arezzo-montpellier.com/carte-restaurant-italien-montpellier/;restaurant italien montpellier
Takkito;Restaurant;;07 75 86 69 87;8 ter Rue du Bras de Fer, 34000 Montpellier;https://www.takkito.com/contact;restaurant italien montpellier
Crêperie Le Kreisker;Crêperie;;04 67 60 82 50;3 Pass. Bruyas, 34000 Montpellier;https://www.creperielekreisker.com/notre-carte;creperie montpellier
Eugénie crêperie Saint Roch;Crêperie;;04 99 66 99 46;9 Rue Jules Latreilhe, 34000 Montpellier;;creperie montpellier
Yo&Co - Pancakerie, Crêperie et Yaourts glacés.;Crêperie;;04 67 12 10 45;31 Rue Saint-Guilhem, 34000 Montpellier;https://www.yoandco.net/;creperie montpellier
Froment & Sarrasin - Crêperie;Crêperie;fromentetsarrasin@yahoo.com;04 67 60 68 10;7 Rue Jacques Cœur, 34000 Montpellier;https://www.fromentetsarrasin-creperie.com/;creperie montpellier
La Crêperie de la Comédie;Crêperie;;09 75 26 48 87;12 Pl. de la Comédie, 34000 Montpellier;;creperie montpellier
Le Tiram's;Boutique de desserts;;04 49 07 03 00;23 Av. Georges Clemenceau, 34000 Montpellier;;creperie montpellier
Original Crêpe & Waffle Montpellier;Restaurant;;09 61 17 16 43;504 Av. du Mas d'Argelliers, 34070 Montpellier;;creperie montpellier
Tacos Square Montpellier;Restauration rapide;;09 87 30 41 11;35 Av. Georges Clemenceau, 34000 Montpellier;http://www.tacossquare.fr/;creperie montpellier
Crêpe Touch Odysseum;Restaurant;;04 30 96 83 63;Centre Commercial Odysseum, 2 Pl. de Lisbonne, 34000 Montpellier;https://restaurants.crepetouch.com/montpellier-odysseum/?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website;creperie montpellier
Pause gourmande;Restauration rapide;;;35 Grand Rue Jean Moulin, 34000 Montpellier;;creperie montpellier
Amorino Gelato - Montpellier Triangle;Marchand de glaces;;04 67 56 27 07;All. Jules Milhau, 34000 Montpellier;https://www.amorino.com/menu;creperie montpellier
Amorino Gelato - Montpellier Loge;Marchand de glaces;;04 67 57 85 25;12 Rue de la Loge, 34000 Montpellier;https://www.amorino.com/menu;creperie montpellier
Jean Le Gourmand MONTPELLIER;Crêperie;;04 67 60 97 19;4 All. Jules Milhau, 34000 Montpellier;https://www.marieblachere.com/;creperie montpellier
Crêperie - Le Blé Noir;Restaurant;;09 75 73 00 08;179 Rte de Mende, 34730 Prades-le-Lez;;creperie montpellier
Balthazar café & restaurant;Restaurant français;;04 34 40 09 40;9 Pl. Chabaneau, 34000 Montpellier;http://www.balthazar-restaurant.fr/;creperie montpellier
Grand Slam Burger | Hamburger Montpellier;Restauration rapide;;06 31 29 16 65;16 Rue Boussairolles, 34000 Montpellier;https://www.ubereats.com/fr/store/grand-slam-burger/uE_rBK7yVaSi1gBR1CFCnQ?diningMode=DELIVERY&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1vbnRwZWxsaWVyJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyQ2hJSnNaM2RKUWV2dGhJUkF1aVVLSFJXaDYwJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMmdvb2dsZV9wbGFjZXMlMjIlMkMlMjJsYXRpdHVkZSUyMiUzQTQzLjYxMDg1MzUlMkMlMjJsb25naXR1ZGUlMjIlM0EzLjg3NjEzMjMlN0Q%3D&ps=1&surfaceName=;creperie montpellier
M Bretzels café Jean Moulin;Magasin de bretzels;;06 60 07 11 25;3 Grand Rue Jean Moulin, 34000 Montpellier;;creperie montpellier
Le Mélody;Restaurant;;04 67 60 56 20;18 Rue Saint-Pierre, 34000 Montpellier;;creperie montpellier
Toast and Tea;Restaurant français;;04 67 60 87 87;7 Rue Vallat, 34000 Montpellier;https://zelift.com/toast-tea-montpellier;creperie montpellier
Glacier - Mamma Mia;Marchand de glaces;nadia.zeta@icloud.com;09 52 28 11 65;1 Rue de Verdun, 34000 Montpellier;http://mamma-mia-gelateria.eatbu.com/;creperie montpellier
capricho;Crêperie;;09 50 40 38 69;2 Pl. Molière, 34000 Montpellier;;creperie montpellier
Le Triple-B-Gourmet;Restaurant;;04 99 58 49 85;Centre commercial le Triangle, 26 All. Jules Milhau, 34000 Montpellier;https://www.facebook.com/p/Le-Triple-B-Gourmet-100090228360308/;creperie montpellier
Empanadas Club;Restaurant;;04 83 43 28 23;15 Rue de Ratte, 34000 Montpellier;https://www.empanadasclub.com/reservation-montpellier;creperie montpellier
Bloom and Cake's;Restauration rapide;;04 99 64 12 60;Centre commercial Polygone, 1 Rue des Pertuisanes, 34000 Montpellier;https://liens.bloomandcakes.fr/;creperie montpellier
À La Braise;Grillades;Chickenbraise34@gmail.com;06 03 10 37 92;11 Rue Aristide Ollivier, 34000 Montpellier;https://www.facebook.com/ChickenBraise/;creperie montpellier
Crêperie d'Amelie Odysseum;Restaurant;;07 60 83 16 36;2 Pl. de Lisbonne, 34000 Montpellier;;creperie montpellier
Aux Délices De La Gourmandise;Restauration rapide;;07 45 39 55 74;6 Rue de Verdun, 34000 Montpellier;;creperie montpellier
Une histoire de Goût;Restaurant;;04 67 42 92 91;39 Pl. du Millénaire, 34000 Montpellier;;restaurant antigone montpellier
L’Endroit du Jour;Restaurant français;;09 84 21 56 23;121 Rue d'Athenes, 34000 Montpellier;https://thefork.fr/restaurant/l-endroit-du-jour-r855420?cc=18174-54f&rwg_token=AFd1xnEWbvzFAmdqJ7ZqaBK59Rk-NgffcgfyuyCi1hRpe8nGbK442O_6jq6aVDKazESmghvVFkQAJzPP0qy3NcXy93x880_OVg8VfWQP3RU8RVGWJn2jzsA%3D;restaurant antigone montpellier
Coffee Shop l THE BABEL COMMUNITY – Montpellier Antigone;Café;;07 87 26 26 60;954 Av. Jean Mermoz, 34000 Montpellier;https://bookings.zenchef.com/results?rid=357191&pid=1001;restaurant antigone montpellier
Gyraya;Restaurant grec;;09 51 54 31 36;22 Pl. du Millénaire, 34000 Montpellier;https://www.gyraya.fr/commander/commander-maintenant;restaurant antigone montpellier
Brasserie Vert Tomate;Restaurant;;09 81 11 86 00;23 Pl. du Nombre d'Or, 34000 Montpellier;https://www.facebook.com/pages/Monsieur-Jules/687256041434728;restaurant antigone montpellier
Restaurant L'Arlequin;Restaurant;contact@larlequinmontpellier.com;04 67 22 27 98;Espl. de l'Europe, 34000 Montpellier;http://www.larlequinmontpellier.com/;restaurant antigone montpellier
RAMEN LIFE;Restaurant japonais;;06 32 24 16 75;1 Pl. du Millénaire, 34000 Montpellier;;restaurant antigone montpellier
